Type,LR,Epoch,Train loss,nDCG@10 max,nDCG@10 mean
fine tune from scratch,0.00001,1,0.1699,0.5376,0.5207
fine tune from scratch,0.00001,4,0.0489,0.5499,0.5291
fine tune from scratch,0.00001,6,0.0426,0.5905,0.5854
fine tune from scratch,0.00001,8,0.0373,0.5509,0.5355
fine tune from scratch,0.00001,10,0.0295,0.5572,0.5569
fine tune from scratch,0.00001,13,0.0247,0.5152,0.5123
,,,,,
MS MARCO fine tune,0.000001,0,0.2501,0.621,0.6148
MS MARCO fine tune,0.000001,1,0.1441,0.6042,0.5881
MS MARCO fine tune,0.000001,2,0.1194,0.5837,0.5775
MS MARCO fine tune,0.000001,3,0.1055,0.5679,0.5716
,,,,,
MS MARCO fine tune,0.00000001,0,0.4395,0.5879,0.5927
MS MARCO fine tune,0.00000001,1,0.4281,0.5903,0.5988
MS MARCO fine tune,0.00000001,2,0.4163,0.595,0.605
MS MARCO fine tune,0.00000001,3,0.3915,0.5968,0.6094
MS MARCO fine tune,0.00000001,4,0.3876,0.5976,0.6091
MS MARCO fine tune,0.00000001,5,0.3742,0.5995,0.6113
MS MARCO fine tune,0.00000001,6,0.3734,0.6032,0.6155
MS MARCO fine tune,0.00000001,9,0.3554,0.6143,0.6207
MS MARCO fine tune,0.00000001,21,0.2963,0.6256,0.6262
MS MARCO fine tune,0.00000001,32,0.2626,0.6306,0.6338
MS MARCO fine tune,0.00000001,37,0.2475,0.6296,0.6354
MS MARCO fine tune,0.00000001,42,0.2386,0.6365,0.6381
MS MARCO fine tune,0.00000001,43,0.236,0.6359,0.6356
MS MARCO fine tune,0.00000001,47,0.2287,0.6292,0.6297
MS MARCO fine tune,0.00000001,50,0.2231,0.6266,0.6273
